Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Minuten,Tore,Vorlagen,Gelbe Karten,Rote Karten,Expected Goals,Expected Assists,Erfolgreiche Dribblings,Erfolgreiche Pässe,Potential,Größe,Gewicht,Starker Fuß,Beidfüßigkeit,Skill-Moves,Internationaler Ruf,Arbeitsrate,Schnelligkeit,Schießen,Passen,Dribbling,Verteidigung,Physis,xGoalDiff
18,Cesc Fàbregas,Central Midfield,31,25.0,Spain,Chelsea,Premier League,Monaco,Ligue 1,2307.0,2.0,4.0,5.0,2.0,2.4,6.8,55.0,348.0,84,180,77,Right,3,3,4,High/Medium,55.0,74.0,88.0,80.0,60.0,58.0,-0.3999999999999999
18,Sime Vrsaljko,Right-Back,26,25.0,Croatia,Atlético Madrid,LaLiga,Inter,Serie A,1696.0,0.0,4.0,7.0,0.0,0.4,2.4,50.0,48.0,84,181,76,Right,3,3,2,High/Medium,81.0,55.0,74.0,75.0,78.0,78.0,-0.4
18,Aleksandar Mitrović,Centre-Forward,23,15.0,Serbia,Newcastle,Premier League,Fulham,Premier League,95.0,1.0,0.0,0.0,0.0,1.2,0.2,4.0,3.0,81,187,90,Right,4,3,1,Medium/Medium,57.0,76.0,53.0,67.0,27.0,80.0,-0.19999999999999996
18,Alassane Pléa,Centre-Forward,25,18.0,France,OGC Nice,Ligue 1,Bor. M'gladbach,Bundesliga,3041.0,16.0,5.0,6.0,0.0,13.9,3.0,93.0,117.0,82,181,79,Right,3,4,2,High/Medium,83.0,81.0,75.0,78.0,39.0,75.0,2.0999999999999996
18,Diogo Dalot,Right-Back,19,15.0,Portugal,FC Porto,Liga NOS,Man Utd,Premier League,412.0,0.0,2.0,0.0,0.0,,,,,84,183,71,Right,3,3,1,High/Medium,73.0,58.0,65.0,73.0,69.0,75.0,
18,André Silva,Centre-Forward,22,22.0,Portugal,AC Milan,Serie A,Sevilla FC,LaLiga,940.0,2.0,1.0,0.0,0.0,3.8,0.9,25.0,23.0,85,185,79,Right,3,3,2,High/Medium,79.0,74.0,62.0,77.0,43.0,75.0,-1.7999999999999998
18,Samu Castillejo,Right Winger,23,15.0,Spain,Villarreal,LaLiga,AC Milan,Serie A,2074.0,6.0,5.0,4.0,0.0,4.5,4.4,104.0,111.0,87,182,67,Left,2,4,2,Medium/High,86.0,75.0,81.0,84.0,43.0,52.0,1.5
18,Çağlar Söyüncü,Centre-Back,22,18.0,Türkiye,SC Freiburg,Bundesliga,Leicester,Premier League,2153.0,1.0,0.0,5.0,2.0,0.8,0.0,23.0,62.0,83,187,82,Right,4,2,1,Medium/Medium,70.0,45.0,51.0,59.0,75.0,76.0,0.19999999999999996
18,Rafael Leão,Left Winger,19,6.0,Portugal,Sporting CP,Liga NOS,LOSC Lille,Ligue 1,103.0,1.0,1.0,0.0,0.0,,,,,71,179,72,Right,4,2,1,Medium/High,54.0,45.0,56.0,52.0,73.0,68.0,
18,Thomas Delaney,Central Midfield,26,12.0,Denmark,Werder Bremen,Bundesliga,Bor. Dortmund,Bundesliga,2796.0,3.0,4.0,5.0,0.0,3.4,2.8,27.0,145.0,73,180,70,Left,4,3,1,High/High,78.0,48.0,65.0,67.0,65.0,76.0,-0.3999999999999999
18,Javier Pastore,Attacking Midfield,29,15.0,Argentina,Paris SG,Ligue 1,AS Roma,Serie A,1347.0,4.0,5.0,2.0,0.0,2.0,3.8,65.0,96.0,82,188,77,Right,4,4,3,High/Medium,69.0,75.0,83.0,84.0,56.0,63.0,2.0
18,Yuri Berchiche,Left-Back,28,17.0,Spain,Paris SG,Ligue 1,Athletic,LaLiga,1716.0,2.0,4.0,4.0,0.0,0.4,2.1,41.0,74.0,77,180,80,Left,3,3,2,High/Medium,77.0,58.0,67.0,70.0,75.0,80.0,1.6
18,Quincy Promes,Left Winger,26,24.0,Netherlands,Spartak Moscow,Premier Liga,Sevilla FC,LaLiga,2269.0,15.0,7.0,5.0,0.0,,,,,84,174,72,Right,4,5,2,High/Low,90.0,83.0,78.0,83.0,32.0,67.0,
18,Andriy Yarmolenko,Right Winger,28,23.0,Ukraine,Bor. Dortmund,Bundesliga,West Ham,Premier League,1039.0,3.0,3.0,0.0,0.0,4.8,3.2,40.0,42.0,80,190,83,Left,3,4,3,High/Medium,73.0,80.0,78.0,83.0,42.0,71.0,-1.7999999999999998
18,Alireza Jahanbakhsh,Right Winger,24,18.0,Iran,AZ Alkmaar,Eredivisie,Brighton,Premier League,2839.0,21.0,12.0,3.0,0.0,,,,,81,180,78,Right,4,4,2,High/High,83.0,76.0,70.0,81.0,42.0,71.0,
