clubID,fifa_club
vejlebk,vejle
kayserispor,kayserispor
utrechtu21,
dinamotbilisi,
odensebk,
envigado,envigadofc
kawasakifront,kawasakifrontale
nordsjaellu19,
slobratislava,ob
altinordu,altai
liverpoolfc,liverpool
valerenga,valerenga
pordenone,pordenone
fehervar,
colorado,coloradorapids
ohiggins,cdohiggins
admirawacker,admira
monza,monza
orlando,orlandocity
karagumruk,fatihkaragumruk
sportrecife,
wydadac,
dunajskastreda,
frosinone,frosinone
mancityu21,
dinamobatumi,ob
libertad,libertad
botafogo,botafogo
newengland,newengland
monterrey,monterrey
gilvicente,gilvicente
hammarby,hammarby
aberdeenfc,aberdeen
racing,racingclub
aik,aik
jubiloiwata,jubiloiwata
lommelsk,
fcjuarez,juarez
famalicao,famalicao
asecmimosas,
minnesota,minnesotaunited
westhamu21,
hibernianfc,hibernian
juvenextgen,
realsociedadb,realsociedad
ucatolica,universidadcatolica
stalmielec,stalmielec
pisa,pisa
valmiera,almeria
fclugano,lugano
parisfc,paris
blackpool,blackpool
alsadd,
bogotafc,
slaskwroclaw,slaskwrocaw
mpetahtikva,
chaves,chaves
karlsruhersc,karlsruhersc
colocolo,colocolo
kalbafc,
austin,austin
astonvillau21,astonvilla
scdnipro1,
cincinnati,cincinnati
rbbragantino,bragantino
aarhusgf,
americamg,america
charlotte,charlotte
rwdm,rwdm
hatayspor,hatayspor
fktsc,
imtbelgrad,
barcaatletic,
lillestrm,lillestrm
hacken,hacken
sivasspor,sivasspor
cerclebrugge,cerclebrugge
bdortmundii,borussiadortmundii
gimnasia,gimnasialaplata
platense,platense
fortunasittard,fortunasittard
fcvfarul,
rcdespanyolb,espanyol
elfsborg,elfsborg
servettefc,servette
arislimassol,paris
cremonese,cremonese
adanademirspor,adanademirspor
fcrapid,
colon,colon
catanzaro,catanzaro
farrabat,
defensa,defensayjusticia
wehenwiesbaden,wehenwiesbaden
ankaragucu,ankaragucu
cfrcluj,cfrcluj
