Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Ablöse
20,Arkadiusz Reca,Left-Back,25,2.4,Poland,Atalanta BC,Serie A,Crotone,Serie A,Loan fee:€100k
20,Frederik Rönnow,Goalkeeper,28,2.4,Denmark,E. Frankfurt,Bundesliga,FC Schalke 04,Bundesliga,loan transfer
20,Godfred Donsah,Central Midfield,24,2.4,Ghana,Bologna,Serie A,C. Rizespor,Süper Lig,loan transfer
20,Álvaro Tejero,Right-Back,24,2.4,Spain,SD Eibar,LaLiga,Real Zaragoza,2ª División,loan transfer
20,Sinan Bolat,Goalkeeper,31,2.4,Türkiye,Royal Antwerp,JPL,KAA Gent,JPL,free transfer
20,Mimoun Mahi,Left Winger,26,2.4,Morocco,FC Zürich,Super League,FC Utrecht,Eredivisie,free transfer
20,Amath Ndiaye,Right Winger,24,2.4,Senegal,Getafe,LaLiga,RCD Mallorca,2ª División,loan transfer
20,Thomas Ouwejan,Left-Back,23,2.4,Netherlands,AZ Alkmaar,Eredivisie,Udinese Calcio,Serie A,loan transfer
20,Valentín Vada,Central Midfield,24,2.4,Argentina,UD Almería,2ª División,CD Tenerife,2ª División,loan transfer
20,Álvaro Vadillo,Left Winger,26,2.4,Spain,Celta de Vigo,LaLiga,Espanyol,2ª División,loan transfer
20,Renato Tapia,Defensive Midfield,25,2.4,Peru,Feyenoord,Eredivisie,Celta de Vigo,LaLiga,free transfer
20,Jean-Charles Castelletto,Centre-Back,25,2.4,Cameroon,Stade Brestois,Ligue 1,FC Nantes,Ligue 1,free transfer
20,Abdul Rahman Baba,Left-Back,26,2.4,Ghana,Chelsea,Premier League,PAOK Salonika,Super League 1,loan transfer
20,Loïs Diony,Centre-Forward,27,2.4,France,Saint-Étienne,Ligue 1,Angers SCO,Ligue 1,free transfer
20,Kévin Rodrigues,Left-Back,26,2.4,Portugal,Real Sociedad,LaLiga,SD Eibar,LaLiga,loan transfer
20,Abel Hernández,Centre-Forward,30,2.4,Uruguay,Internacional,Série A,Fluminense,Série A,free transfer
20,Kevin Mirallas,Right Winger,33,2.4,Belgium,Royal Antwerp,JPL,Gaziantep FK,Süper Lig,free transfer
20,Ryan Shotton,Centre-Back,32,2.4,England,Middlesbrough,Championship,Leek Town FC,England,free transfer
20,Eduardo Henrique,Defensive Midfield,25,2.4,Brazil,Sporting CP,Liga NOS,Crotone,Serie A,loan transfer
20,Jakub Swierczok,Centre-Forward,27,2.4,Poland,Ludogorets,efbet Liga,Piast Gliwice,Ekstraklasa,loan transfer
20,James Chester,Centre-Back,31,2.4,Wales,Aston Villa,Premier League,Stoke City,Championship,free transfer
20,Rafinha,Right-Back,34,2.4,Brazil,Flamengo,Série A,Olympiacos,Super League 1,free transfer
20,Assane Dioussé,Defensive Midfield,22,2.4,Senegal,Saint-Étienne,Ligue 1,Ankaragücü,Süper Lig,loan transfer
20,Álvaro Vadillo,Left Winger,25,2.4,Spain,Granada CF,LaLiga,Celta de Vigo,LaLiga,free transfer
20,Jack Marriott,Centre-Forward,26,2.4,England,Derby,Championship,Sheff Wed,Championship,loan transfer
20,Rubén Pardo,Central Midfield,27,2.4,Spain,G. Bordeaux,Ligue 1,CD Leganés,2ª División,loan transfer
20,Recio,Central Midfield,29,2.4,Spain,CD Leganés,2ª División,SD Eibar,LaLiga,loan transfer
20,Casimir Ninga,Centre-Forward,27,2.4,Chad,Angers SCO,Ligue 1,Sivasspor,Süper Lig,loan transfer
20,Casper De Norre,Central Midfield,23,2.4,Belgium,KRC Genk,JPL,OH Leuven,JPL,Loan fee:
20,Aaron Lennon,Right Winger,33,2.4,England,Burnley,Premier League,Kayserispor,Süper Lig,free transfer
20,Leonardo Ramos,Centre-Forward,30,2.4,Argentina,León,Liga MX Apertura,Pachuca,Liga MX Apertura,?
20,Pablo Maffeo,Right-Back,23,2.4,Argentina,VfB Stuttgart,Bundesliga,SD Huesca,LaLiga,loan transfer
20,Sung-yueng Ki,Defensive Midfield,31,2.4,"Korea, South",RCD Mallorca,2ª División,FC Seoul,K League 1,free transfer
20,Facundo Quignón,Defensive Midfield,28,2.4,Argentina,Lanús,Liga Profesional,Dallas,MLS,free transfer
20,Natanael,Left-Back,29,2.4,Brazil,Internacional,Série A,Atlético-GO,Série A,loan transfer
20,José Paradela,Attacking Midfield,22,1.5,Argentina,Gimnasia,Liga Profesional,River Plate,Liga Profesional,€2.31m
20,Bart Verbruggen,Goalkeeper,18,0.25,Netherlands,NAC Breda U19,Without Club,RSC Anderlecht,JPL,€2.30m
20,Bruno Amione,Centre-Back,18,2.3,Argentina,Belgrano,Without Club,Hellas Verona,Serie A,€1.95m
20,Gonçalo Cardoso,Centre-Back,20,2.3,Portugal,West Ham U21,Premier League 2,FC Basel,Super League,loan transfer
20,Taylor Harwood-Bellis,Centre-Back,19,2.3,England,Man City,Premier League,Blackburn,Championship,loan transfer
20,Steven Sessegnon,Right-Back,20,2.3,England,Fulham,Premier League,Bristol City,Championship,loan transfer
20,Stephen Odey,Centre-Forward,22,2.3,Nigeria,KRC Genk,JPL,Amiens SC,Ligue 2,loan transfer
20,Tim Kleindienst,Centre-Forward,25,2.3,Germany,KAA Gent,JPL,Heidenheim,2. Bundesliga,loan transfer
20,Alexandru Maxim,Attacking Midfield,30,2.3,Romania,1.FSV Mainz 05,Bundesliga,Gaziantep FK,Süper Lig,free transfer
